name,price,storage_gb,primary_use_case,OS,Weight,Touch,Size,Resolution,PPI,Anti Glare Screen,Processor,Brand,RAM,Generation,RAM_Type,GPU_Model,GPU_Type
Asus BR1100CKA-GJ0722W Laptop (Celeron N4500/ 4GB/ 128GB SSD/ Win11 Home),29990,128,Business,Windows 11,1.26,No,11.6,1366x768,135,Yes,Intel Celeron  N4500,Asus,4,Celeron,DDR4,Unknown,Integrated
Asus ROG Zephyrus G14 GA401IHR-K2066TS Laptop (Ryzen 7 4800HS/ 8GB/ 1TB SSD/ Win10 Home/ 4GB Graph),74990,1024,Gaming,Windows 10,1.6,No,14.0,2560x1440,202,Yes,4th Gen AMD Ryzen 7  4800HS,Asus,8,4th Gen,LPDDR4X,GTX 1650,Dedicated
Asus VivoBook X515JA-EJ501T Laptop (10th Gen Core i5/ 8GB/ 1TB/ Win10),37990,1024,Student,Windows 10,1.8,No,15.6,1920x1080,141,Yes,10th Gen Intel Core i5 1035G1,Asus,8,10th Gen,Unknown,Unknown,Integrated
HP 14s-cf3047TU Laptop (10th Gen Core i3/ 4GB/ 256GB SSD/ Win10 Home),36739,256,Student,Windows 10,1.47,No,14.0,1366x768,112,No,10th Gen Intel Core i3 1005G1,Hp,4,10th Gen,DDR4,Unknown,Integrated
HP Pavilion 15-ab030TX (M2W73PA) Notebook (5th Gen Ci5/ 8GB/ 1TB/ Win8.1/ 2GB Graph),56543,1024,Gaming,Windows 8.1,2.29,No,15.6,1920x1080,141,No,5th Gen Intel Core i5 5200U,Hp,8,5th Gen,DDR3,Unknown,Unknown
MSI Prestige 15 A10SC-092IN Gaming Laptop (10th Gen Core i7/ 16GB/ 1TB SSD/ Win10/ 4GB Graph),117790,1024,Gaming,Windows 10,1.6,No,15.6,1920x1080,141,Yes,10th Gen Intel Core i7 10710U,Msi,16,10th Gen,DDR4,GTX 1650,Dedicated
Acer Swift 7 SF713-51 (NX.GK6SI.007) Laptop (7th Gen Ci5/ 8GB/ 256GB SSD/ Win10),99999,256,Business,Windows 10,1.13,No,13.3,1920x1080,166,No,7th Gen Intel Core i5 7Y54,Acer,8,7th Gen,DDR3,Unknown,Integrated
Lenovo IdeaPad Slim 3 83K1016UIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11),76950,512,General,Windows 11,1.62,No,15.0,1920x1080,144,Yes,13th Gen Intel Core i7 13620H,Lenovo,16,13th Gen,LPDDR5,Unknown,Integrated
Lenovo IdeaPad Slim 3 15IAH8 83ER00H3IN Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),65101,512,General,Windows 11,1.62,No,15.6,1920x1080,134,Yes,12th Gen Intel Core i5 12450H,Lenovo,8,12th Gen,LPDDR5,Unknown,Integrated
Asus ROG Strix G18 2026 G815LR-TT292WS Gaming Laptop (Intel Core Ultra 9 290HX Plus/ 32GB/ 1TB SSD/ Win11/ 12GB RTX 5070Ti Graphics),389990,1024,Gaming,Windows 11,2.65,No,16.0,2560x1600,189,Yes,Intel Core Ultra 9 290HX Plus,Asus,32,Core Ultra,DDR5,RTX 5070TI,Dedicated
HP OmniBook 5 OLED 14-hh0030TU AI Laptop(Intel Core Ultra 7 355/ 16GB/ 1TB SSD/ Win11),139037,1024,Business,Windows 11,1.33,Yes,14.0,1920x1200,142,Yes,Intel Core Ultra 7 355,Hp,16,Core Ultra,LPDDR5X,IRIS XE,Integrated
Asus Zenbook S14 2026 UX5406AA-SU362W Laptop (Intel Core Ultra 9 386H / 16GB/ 512GB SSD/ Win11 Home),189990,512,Business,Windows 11,1.2,Yes,14.0,2880x1800,202,No,Intel Core Ultra 9 386H,Asus,16,Core Ultra,LPDDR5X,Unknown,Integrated
Dell Inspiron 3558 Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1) (355834500iB),29990,500,Student,Windows 8.1,2.2,No,15.6,1366x768,100,No,4th Gen Intel Core i3 4005U,Dell,4,4th Gen,DDR3,HD GRAPHICS 4400,Integrated
Asus Vivobook 15 X1504VAP-NJ2861WS Laptop (Intel Core 5 120U/ 8GB/ 512GB SSD/ Win11),57390,512,General,Windows 11,1.7,No,15.6,1920x1080,141,Yes,Intel Core 5 120U,Asus,8,Unknown,DDR4,Unknown,Integrated
HP Pavilion 15-p210tx (K8U33PA) Notebook (5th Gen Ci5/ 8GB/ 1TB/ Win8.1/ 2GB Graph),50500,1024,Gaming,Windows 8.1,2.27,No,15.6,1920x1080,141,No,5th Gen Intel Core i5 5200U,Hp,8,5th Gen,DDR3,Unknown,Unknown
"Asus TUF A15 2026 FA506NCG-HN192WS,Gaming Laptop(AMD Ryzen 7 8845HS/ 16GB / 512GB SSD/ Win11 / 4GB Graph)",117990,512,Gaming,Windows 11,2.3,No,15.6,1920x1080,141,Yes,8th Gen AMD Ryzen 7 8845HS,Asus,16,8th Gen,DDR5,RTX 3050,Dedicated
HP OmniBook 3 16-bu0274TU OLED AI Laptop (Intel Core Ultra 9 285H/ 24GB/ 1TB SSD/ Win11 Home),168956,1024,General,Windows 11,1.64,No,16.0,1920x1200,142,Yes,Intel Core Ultra 9 285H,Hp,24,Core Ultra,DDR5,Unknown,Unknown
HP 15s-dy2008TU Laptop (10th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10 Home),54679,1024,General,Windows 10,1.83,No,15.6,1920x1080,141,No,10th Gen Intel Core i5 1035G1,Hp,8,10th Gen,DDR4,Unknown,Integrated
HP Pavilion 15s-fy5001TU Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),59594,512,General,Windows 11,1.69,No,15.6,1920x1080,141,Yes,12th Gen Intel Core i5 1240P,Hp,8,12th Gen,DDR4,IRIS XE,Integrated
Lenovo ThinkPad E14 Gen 6 â21M7S0SF00 Laptop (Intel Core Ultra 7 155H/ 16GB/ 512GB SSD/ Win11),120000,512,General,Windows 11,1.43,No,14.0,1920x1200,162,Yes,Intel Core Ultra 7 Series 1 155H,Lenovo,16,Core Ultra Series 1,Unknown,Unknown,Integrated
Asus TUF Gaming A15 FA506IH-AL047T Laptop (AMD Ryzen 5/ 8GB/ 512GB SSD/ Win10/ 4GB Graph),54999,512,Gaming,Windows 10,2.3,No,15.6,1920x1080,141,Yes,4th Gen AMD Ryzen 5  4600H,Asus,8,4th Gen,DDR4,GTX 1650,Dedicated
HP ProBook 4540s (DON65PA) Laptop (3rd Generation Intel Core i3/2GB /500GB/Windows 8 Pro),42015,320,General,Windows 8,2.47,No,16.0,1366x768,99,Yes,Intel Core i3,Hp,16,Unknown,DDR3,Unknown,Integrated
Lenovo Legion Y530 (81FV00JLIN) Laptop (8th Gen Ci5/ 8GB/ 1TB 128GB SSD/ Win10/ 4GB Graph),69990,1024,Gaming,Windows 10,2.3,No,15.6,1920x1080,141,Yes,8th Gen Intel Core i5 8300H,Lenovo,8,8th Gen,DDR4,GTX 1050TI,Dedicated
HP Pavilion G6-2226TU Laptop (3rd Gen Ci3/ 4GB/ 500GB/ Win8),30335,500,Student,Windows 8,2.47,No,15.6,1366x768,100,No,3rd Gen Intel Core i3 3110M,Hp,4,3rd Gen,DDR3,HD GRAPHICS 4000,Integrated
HP EliteBook 840 G10 B3HE4PT Business Laptop (13th Gen Core i5/ 8GB/ 512GB SSD/ DOS),83900,512,General,DOS,1.85,No,14.0,1920x1200,162,No,13th Gen Intel Core i5 1335U,Hp,8,13th Gen,DDR5,IRIS XE,Integrated
Asus Vivobook Go 14 2026 E1404FA-EB1762WS Laptop (AMD Ryzen 3 30/ 8GB/ 256GB SSD/ Win11 Home),60990,256,Gaming,Windows 11,1.85,No,14.0,1920x1080,157,Yes,AMD Ryzen 3 30,Asus,8,Unknown,LPDDR5,Unknown,Unknown
Lenovo Ideapad 330-15IGM (81D100H1IN) Laptop (Pentium Quad Core/ 4GB/ 1TB/ Win10),22490,1024,Student,Windows 10,1.85,No,15.6,1366x768,100,No,Intel Pentium Quad Core N5000,Lenovo,4,Pentium,DDR4,UHD 605,Integrated
